tax_assessment_id,id,2022.value,2022.land,2022.improvements,2021.value,2021.land,2021.improvements,2020.value,2020.land,2020.improvements,2023.value,2023.land,2023.improvements,2019.value,2019.land,2019.improvements,2018.value,2018.land,2018.improvements,2017.value,2017.land,2017.improvements,2024.value
19,"53960-Lawson-Creek-Dr,-Shelby-Township,-MI-48316",,,,,,,,,,,,,,,,,,,,,,
20,"1154-N-Sycamore-Ave,-Apt-4,-Los-Angeles,-CA-90038",,,,,,,605400.0,477954.0,127446.0,636381.0,502414.0,133967.0,,,,,,,,,,
21,"2930-Brougham-Ave,-Jacksonville,-FL-32246",215738.0,,,,,,,,,222210.0,,,,,,,,,,,,
22,"3630-Muirfield-Dr,-Titusville,-FL-32780",87000.0,,,,,,,,,,,,,,,,,,,,,
23,"2100-St-Thomas-St,-Unit-207,-New-Orleans,-LA-70130",,,,,,,,,,,,,,,,,,,,,,
24,"12154-Marilla-Dr,-Saratoga,-CA-95070",211135.0,39159.0,171976.0,,,,,,,,,,,,,,,,,,,
25,"155-E-Rodeo-Rd,-Lot-66,-Casa-Grande,-AZ-85122",,,,,,,,,,,,,,,,,,,,,,
26,"2347-Walden-Dr,-Augusta,-GA-30904",20435.0,4400.0,16035.0,,,,,,,,,,,,,,,,,,,
27,"154-Market-St,-Portsmouth,-NH-03801",,,,,,,,,,,,,,,,,,,,,,
28,"3235-W-Woodlawn-Ave,-San-Antonio,-TX-78228",100000.0,54810.0,45190.0,,,,104020.0,31940.0,72080.0,151990.0,60250.0,91740.0,89250.0,31940.0,57310.0,74450.0,31940.0,42510.0,,,,
29,"1147-Rosewood-Ln,-Ste-3,-Layton,-UT-84041",,,,,,,,,,,,,,,,,,,,,,
30,"1882-Dillingham-Dr,-Allegan,-MI-49010",,,,,,,,,,112900.0,7800.0,105100.0,,,,,,,,,,
31,"5900-Essex-Rd,-Oak-Forest,-IL-60452",,,,,,,,,,,,,18041.0,2475.0,15566.0,,,,,,,
32,"1722-7th-Ave-N---B,-Nashville,-TN-37208",146225.0,60000.0,86225.0,146225.0,60000.0,86225.0,,,,,,,,,,124575.0,30000.0,94575.0,,,,
33,"4658-Midway-St,-Saginaw,-MI-48638",,,,,,,,,,65400.0,,,,,,,,,,,,
34,"2055-Allen-Dr,-Apt-103,-Annapolis,-MD-21401",,,,,,,,,,,,,,,,,,,,,,
35,"1209-N-9th-St,-Salina,-KS-67401",6096.0,495.0,5601.0,,,,5842.0,581.0,5261.0,,,,,,,,,,,,,
36,"710-Concho-Pl,-College-Station,-TX-77840",,,,,,,,,,,,,,,,,,,,,,
37,"729-W-Randolph-St,-Chicago,-IL-60661",,,,,,,,,,,,,,,,,,,,,,
38,"23-W-Chicago-Ave,-Apt-603,-Chicago,-IL-60654",,,,,,,,,,,,,,,,,,,,,,
39,"108-Willard-Ave,-Farmingdale,-NY-11735",,,,,,,430.0,429.0,1.0,338.0,237.0,101.0,,,,,,,,,,
40,"Oak-Ridge-Dr,-Lot-1,-Shell-Knob,-MO-65747",,,,,,,,,,,,,,,,,,,,,,
41,"1672-Se-Hickory-Way,-Gresham,-OR-97080",,,,,,,,,,,,,,,,,,,,,,
42,"11724-Decade-Ct,-Reston,-VA-20191",511230.0,130000.0,381230.0,,,,,,,587550.0,150000.0,437550.0,,,,,,,,,,
43,"130-Randomwood-Way,-Alpharetta,-GA-30022",176800.0,36520.0,140280.0,172800.0,35720.0,137080.0,,,,,,,,,,,,,,,,
44,"56-Dogwood-Drive-Cir,-Ocala,-FL-34472",162471.0,16000.0,146471.0,9000.0,9000.0,,,,,,,,,,,,,,,,,
45,"109-Blue-Ridge-Dr,-Pickens,-SC-29671",,,,,,,,,,,,,,,,,,,,,,
46,"300-E-9th-St,-Apt-203,-Dallas,-TX-75203",,,,,,,,,,,,,,,,,,,,,,
47,"171-Quail-Ridge-Rd,-Selah,-WA-98942",,,,,,,,,,,,,,,,,,,,,,
48,"261-Sparrow-Ln,-Unit-19,-Lexington,-NC-27295",,,,,,,,,,,,,,,,,,,,,,
49,"278-Carrollton-St,-Bremen,-GA-30110",,,,,,,,,,,,,,,,,,,,,,
50,"3225-Randy-Rd,-Joliet,-IL-60431",103892.0,20169.0,83723.0,,,,,,,,,,,,,,,,,,,
51,"1310-Decatur-St,-Pittsburgh,-PA-15233",,,,,,,,,,23900.0,9900.0,14000.0,,,,,,,,,,
52,"802-Beaufort-St,-Laramie,-WY-82072",,,,,,,,,,,,,,,,,,,,,,
53,"1469-Beacon-St,-Apt-6,-Brookline,-MA-02446",,,,,,,,,,,,,,,,,,,,,,
54,"2217-S-Genesee-Ave,-Apt-6,-Los-Angeles,-CA-90016",,,,,,,,,,,,,,,,,,,,,,
55,"11468-Johannsen-Rd,-Ketchikan,-AK-99901",,,,,,,,,,,,,,,,,,,,,,
56,"1280-San-Tomas-Aqn-Rd,-Apt-113,-San-Jose,-CA-95117",,,,,,,,,,,,,,,,,,,,,,
57,"9944-Walnut-St,-Apt-2034,-Dallas,-TX-75243",,,,,,,,,,,,,,,,,,,,,,
58,"237-Holly-Berry-Dr,-Frankfort,-KY-40601",,,,102900.0,,,,,,,,,,,,,,,,,,
59,"568-N-Chancery-St,-Mcminnville,-TN-37110",,,,,,,,,,,,,,,,,,,,,,
60,"38-Sylvia-Ln,-Plainview,-NY-11803",,,,,,,851.0,694.0,157.0,604.0,332.0,272.0,,,,,,,,,,
61,"4816-Bratcher-St,-Fort-Worth,-TX-76119",180962.0,10000.0,170962.0,,,,,,,217419.0,30480.0,186939.0,,,,,,,,,,
62,"168-Heritage-Hill-Rd,-New-Canaan,-CT-06840",,,,,,,551250.0,494970.0,56280.0,551250.0,494970.0,56280.0,,,,,,,,,,
63,"PO-Box-607,-Dauphin-Island,-AL-36528",,,,,,,,,,,,,,,,,,,,,,
64,"137-N-1050-W,-Cedar-City,-UT-84720",312364.0,60147.0,252217.0,,,,,,,,,,,,,,,,,,,
65,"5209-Denver-Dr,-Galveston,-TX-77551",310000.0,110250.0,199750.0,,,,,,,524310.0,119440.0,404870.0,,,,,,,,,,
66,"9125-Wildwood-Dr,-Highland,-IN-46322",208900.0,49700.0,159200.0,,,,,,,,,,,,,,,,,,,
67,"1112-Spencer-St,-Allen,-TX-75013",949294.0,200000.0,749294.0,,,,,,,998498.0,220000.0,778498.0,642552.0,160000.0,482552.0,,,,,,,
68,"2560-Superior-St,-Opa-Locka,-FL-33054",,,,,,,,,,,,,,,,,,,,,,
69,"18023-Hillgrove-Ave,-Cleveland,-OH-44119",,,,,,,,,,,,,,,,,,,,,,
70,"938-E-8th-St,-Jeffersonville,-IN-47130",120600.0,30600.0,90000.0,,,,,,,173000.0,68200.0,104800.0,,,,,,,,,,
71,"114-Windstone-Blvd,-Powell,-TN-37849",69450.0,,,,,,,,,,,,,,,,,,,,,
72,"2200-Bronson-St,-Fort-Collins,-CO-80526",,,,34456.0,3575.0,30881.0,,,,,,,,,,,,,,,,
73,"20-Beechwood-Ave,-York,-ME-03909",,,,,,,,,,,,,,,,,,,,,,
74,"9708-Sw-Arikara-Dr,-Tualatin,-OR-97062",315640.0,,,,,,,,,,,,,,,,,,,,,
75,"11903-Sw-31st-Rd,-Gainesville,-FL-32608",,,,,,,,,,,,,,,,,,,,,,
76,"5420-River-Oaks-Blvd,-River-Oaks,-TX-76114",,,,,,,,,,,,,,,,,,,,,,
77,"1455-W-Ina-Rd,-Tucson,-AZ-85704",,,,,,,,,,24287.0,,,,,,,,,,,,29728.0
78,"546-D-St,-Blaine,-WA-98230",,,,,,,108682.0,98742.0,9940.0,,,,,,,,,,,,,
79,"12921-S-Tortoise-Ln,-Riverton,-UT-84096",316855.0,48070.0,268785.0,,,,,,,,,,,,,,,,,,,
80,"14654-S-Bloom-Dr,-Unit-302,-Herriman,-UT-84096",199815.0,59950.0,139865.0,,,,,,,,,,,,,,,,,,,
81,"2906-Medina-Dr,-Jonesboro,-GA-30236",56000.0,5560.0,50440.0,,,,51157.0,8000.0,43157.0,,,,,,,,,,,,,
82,"63-Macdougal-St,-Brooklyn,-NY-11233",,,,,,,,,,,,,37560.0,14040.0,23520.0,,,,,,,
83,"455-W-Sunset-Dr,-Talladega,-AL-35160",,,,,,,,,,,,,21060.0,,,,,,,,,
84,"501-Peachtree-Club-Dr,-Peachtree-City,-GA-30269",81660.0,16020.0,65640.0,,,,,,,,,,61420.0,12820.0,48600.0,,,,,,,
85,"1109-Twin-Leaf-Ter,-Webster,-NY-14580",,,,172000.0,27600.0,144400.0,,,,,,,,,,,,,,,,
86,"400A-Larkin-Ct,-Warrensburg,-MO-64093",,,,,,,,,,,,,,,,,,,,,,
87,"8-Colonial-Dr,-Lexington,-NC-27292",,,,,,,111680.0,,,148480.0,,,,,,,,,,,,
88,"752-Guna-Dr,-New-Braunfels,-TX-78130",285589.0,37139.0,248450.0,224598.0,26250.0,198348.0,,,,307139.0,52472.0,254667.0,,,,,,,,,,
89,"8405-Briarwood-Ln,-Austin,-TX-78757",554440.0,360000.0,194440.0,392514.0,252000.0,140514.0,362793.0,252000.0,110793.0,480139.0,260000.0,220139.0,,,,,,,,,,
90,"2517-S-Johnson-St,-New-Orleans,-LA-70125",,,,,,,,,,,,,2160.0,1500.0,660.0,,,,,,,
91,"2215-Opal-Field-Ln,-Richmond,-TX-77469",,,,,,,,,,,,,,,,,,,,,,
92,"244-Apollo-Dr,-Bumpus-Mills,-TN-37028",,,,,,,,,,,,,,,,,,,,,,
93,"1415-E-Wilt-St,-Philadelphia,-PA-19125",,,,,,,,,,,,,,,,,,,,,,
94,"2538-W-Division-St,-Chicago,-IL-60622",,,,,,,,,,,,,,,,,,,,,,
95,"4613-N-Bain-Ave,-Fresno,-CA-93722",300783.0,91941.0,208842.0,,,,,,,,,,257500.0,40500.0,217000.0,,,,,,,
96,"Park-Part-8-Pl,-Lot-40,-Tiffin,-IA-52340",,,,,,,,,,,,,,,,,,,,,,
97,"3414-Denver-St,-Memphis,-TN-38127",13575.0,2025.0,11550.0,13575.0,2025.0,11550.0,,,,13575.0,2025.0,11550.0,,,,,,,,,,
98,"28-Andrew-Dr,-Manahawkin,-NJ-08050",371300.0,206400.0,164900.0,,,,,,,,,,,,,,,,,,,
99,"1137-Odenton-Rd,-Odenton,-MD-21113",417800.0,200400.0,217400.0,,,,,,,434833.0,,,,,,,,,,,,
100,"250-Kensington-Rd,-Apt-31,-Berlin,-CT-06037",,,,,,,,,,,,,,,,,,,,,,
101,"1045-Delaware-Dr,-Carrollton,-TX-75010",377358.0,104580.0,272778.0,,,,319986.0,81224.0,238762.0,,,,314248.0,81224.0,233024.0,,,,,,,
102,"9504-Amberleigh-Ln,-Unit-R,-Perry-Hall,-MD-21128",246667.0,,,,,,240000.0,60000.0,180000.0,250000.0,60000.0,190000.0,,,,,,,,,,
103,"8504-Ridgewood-Rd,-Unit-601,-Rock-Island,-IL-61201",41864.0,3004.0,38860.0,,,,,,,,,,,,,,,,,,,
104,"2313-E-26th-St,-Apt-9,-Erie,-PA-16510",,,,,,,,,,,,,,,,,,,,,,
105,"790-Boulder-Dr,-Bethel-Park,-PA-15102",192800.0,55100.0,137700.0,,,,,,,,,,,,,,,,,,,
106,"1729-Kent-St,-Los-Angeles,-CA-90026",,,,,,,,,,,,,,,,,,,,,,
107,"11915-Kirkbriar-Dr,-Houston,-TX-77089",,,,,,,191911.0,41010.0,150901.0,248341.0,41010.0,207331.0,,,,,,,,,,
108,"1232-Westfield-Dr,-Maumee,-OH-43537",68530.0,9275.0,59255.0,68530.0,9275.0,59255.0,,,,,,,,,,,,,,,,
109,"10B-Idared-Ln,-Halfmoon,-NY-12065",,,,,,,,,,,,,,,,,,,,,,
110,"6822-26th-Ave-NE,-Seattle,-WA-98115",,,,819000.0,605000.0,214000.0,637000.0,461000.0,176000.0,,,,,,,,,,,,,
111,"2240-W-Broadway-Rd,-Ste-108,-Mesa,-AZ-85202",,,,,,,,,,,,,,,,,,,,,,
112,"3048-N-Bend-Rd,-Cincinnati,-OH-45239",,,,,,,,,,,,,,,,,,,,,,
113,"207-Midway-Ave,-Seaside-Park,-NJ-08752",357900.0,278300.0,79600.0,,,,357900.0,278300.0,79600.0,,,,,,,,,,,,,
114,"334-High-St,-Rock-Hill,-SC-29730",,,,,,,2737.0,,,,,,,,,,,,,,,
115,"98-Queensberry-St,-Apt-5,-Boston,-MA-02215",,,,,,,,,,,,,,,,,,,,,,
116,"4900-Schumacher-Rd,-High-Ridge,-MO-63049",48600.0,4500.0,44100.0,,,,,,,,,,,,,,,,,,,
117,"771-Tuggle-Hill-Rd,-Rogersville,-TN-37857",69225.0,12500.0,56725.0,,,,,,,,,,,,,,,,,,,
118,"766-Hydrangea-Dr,-Vacaville,-CA-95687",,,,,,,,,,815490.0,214200.0,601290.0,,,,,,,,,,
119,"1110-Mahogany-Way,-Apt-203,-Delray-Beach,-FL-33445",,,,44204.0,,,,,,,,,42614.0,,,,,,,,,
120,"6117-Calwood-Way,-Rockville,-MD-20852",833167.0,,,,,,,,,,,,,,,,,,,,,
121,"3465-Brownsville-Rd-Ext,-Finleyville,-PA-15332",,,,,,,,,,,,,,,,,,,,,,
122,"9999-Ranch-Rd,-Laurens,-SC-29360",,,,,,,,,,,,,,,,,,,,,,
123,"3347-Wiehle-St,-Philadelphia,-PA-19129",309500.0,61900.0,247600.0,,,,,,,,,,,,,,,,,,,
124,"307-S-Center-St,-Weimar,-TX-78962",,,,,,,55900.0,11400.0,44500.0,,,,,,,,,,,,,
125,"21-Eddings-Ln,-Alabaster,-AL-35007",36940.0,,,,,,,,,,,,,,,,,,,,,
126,"807-Montgomery-Ave,-Phoenixville,-PA-19460",,,,,,,,,,137100.0,40310.0,96790.0,,,,,,,,,,
127,"563-Marshall-Ave,-Reading,-PA-19606",,,,,,,,,,66400.0,24500.0,41900.0,,,,,,,,,,
128,"4365-Blackhawk-Dr,-Willits,-CA-95490",,,,,,,,,,,,,,,,,,,,,,
129,"7515-Broadmoor-Cv,-Temple,-TX-76502",,,,,,,,,,350194.0,38000.0,312194.0,,,,,,,,,,
130,"1700-Carver-Ave,-Richmond,-TX-77469",,,,,,,,,,,,,,,,,,,,,,
131,"188-Railroad-St,-Apt-3,-Manville,-RI-02838",,,,,,,,,,,,,,,,,,,,,,
132,"1000-Kings-Hwy,-Unit-74,-Punta-Gorda,-FL-33980",51910.0,,,,,,,,,,,,,,,,,,,,,
133,"209-S-Prospect-Ave,-Apt-101,-Redondo-Beach,-CA-90277",,,,,,,,,,,,,,,,,,,,,,
134,"1022-Level-Creek-Rd,-Apt-207,-Sugar-Hill,-GA-30518",,,,,,,,,,,,,,,,,,,,,,
135,"9427-Kimmel-Ln,-Charlotte,-NC-28216",149200.0,30000.0,119200.0,149200.0,30000.0,119200.0,,,,263600.0,60000.0,203600.0,,,,,,,,,,
136,"1293-N-River-Rd,-Apt-122,-Denham-Springs,-LA-70726",,,,,,,,,,,,,,,,,,,,,,
137,"361-Wilson-Ave,-Lyndhurst,-NJ-07071",336200.0,170000.0,166200.0,,,,336200.0,170000.0,166200.0,,,,,,,,,,,,,
138,"1834-Santa-Fe,-Lewisville,-TX-75077",320700.0,47438.0,273262.0,249848.0,47438.0,202410.0,,,,341000.0,43880.0,297120.0,,,,,,,,,,
139,"3420-Donner-Trl,-Wake-Forest,-NC-27587",,,,,,,,,,273559.0,72500.0,201059.0,,,,,,,,,,
140,"1-Smeton-Pl,-Apt-102,-Towson,-MD-21204",157000.0,50000.0,107000.0,,,,,,,157667.0,,,157000.0,50000.0,107000.0,,,,,,,
141,"413-4th-St-E,-Jasper,-MN-56144",,,,,,,,,,,,,,,,,,,,,,
142,"3160-W-Shawn-Way,-Lot-547,-Ash-Fork,-AZ-86320",,,,,,,,,,,,,,,,,,,,,,
143,"PO-Box-1050,-Wrightsville-Beach,-NC-28480",,,,,,,,,,,,,,,,,,,,,,
144,"131-S-2460-W,-Hurricane,-UT-84737",,,,,,,,,,,,,,,,,,,,,,
145,"912-N-19th-St,-Mcallen,-TX-78501",58066.0,21476.0,36590.0,,,,,,,,,,,,,,,,,,,
146,"24217-Ne-136th-St,-Excelsior-Springs,-MO-64024",,,,,,,24070.0,,,,,,,,,,,,,,,
147,"850-Big-Five-Rd,-Spc-40,-Pahrump,-NV-89048",,,,,,,,,,,,,,,,,,,,,,
148,"1441-Sterns-Dr,-Leesburg,-FL-34748",,,,,,,,,,,,,,,,,,,,,,
149,"337-S-Prospect-St,-Marion,-OH-43302",30620.0,4590.0,26030.0,27020.0,3990.0,23030.0,,,,,,,,,,,,,,,,
150,"1827-Red-Elm,-San-Antonio,-TX-78227",155000.0,30520.0,124480.0,,,,,,,171000.0,36600.0,134400.0,,,,,,,,,,
151,"5-Vickilee-Dr,-Wrightsville,-PA-17368",,,,,,,127750.0,35430.0,92320.0,127750.0,35430.0,92320.0,,,,,,,,,,
152,"668-Lpga-Blvd,-Apt-1203,-Daytona-Beach,-FL-32117",,,,,,,,,,,,,,,,,,,,,,
153,"125-N-Saxony-Dr,-Olathe,-KS-66061",,,,,,,,,,,,,,,,,,,,,,
154,"County-4470-Rd,-Lot-1,-Ozone,-AR-72854",,,,,,,,,,,,,,,,,,,,,,
155,"1160-Se-40th-Ave,-Hillsboro,-OR-97123",225510.0,,,,,,,,,,,,,,,,,,,,,
156,"12313-Foxmoor-Peak-Dr,-Riverview,-FL-33579",,,,124679.0,12272.0,112407.0,115005.0,11311.0,103694.0,,,,,,,,,,,,,
157,"PO-Box-2471,-Columbia,-SC-29202",,,,,,,,,,,,,,,,,,,,,,
158,"11911-Wake-Bluff-Dr,-Raleigh,-NC-27614",585023.0,95000.0,490023.0,,,,,,,585023.0,95000.0,490023.0,,,,,,,,,,
159,"4065-E-Erie-St,-Unit-102,-Gilbert,-AZ-85295",23560.0,4710.0,18850.0,21760.0,4350.0,17410.0,18780.0,3750.0,15030.0,28770.0,5750.0,23020.0,2085.0,2085.0,,,,,,,,
160,"22262-Buffalo-Ave,-Port-Charlotte,-FL-33952",200319.0,,,,,,,,,,,,,,,,,,,,,
161,"728-Ocean-Ave,-Monterey,-CA-93940",,,,,,,,,,,,,,,,,,,,,,
162,"106-Sugarcreek-Ct,-Grovetown,-GA-30813",,,,,,,,,,,,,,,,141061.0,31655.0,109406.0,,,,
163,"361-17th-St-NW,-Unit-1016,-Atlanta,-GA-30363",,,,,,,,,,,,,,,,,,,96000.0,13800.0,82200.0,
164,"221-W-Vine-St,-Bartow,-FL-33830",144744.0,9727.0,135017.0,,,,,,,,,,,,,,,,,,,
165,"3569-E-Portland-Ave,-Tacoma,-WA-98404",,,,,,,,,,597500.0,326100.0,271400.0,,,,,,,,,,
166,"3130-Mangum-Rd,-Apt-39,-Houston,-TX-77092",,,,,,,,,,,,,,,,,,,,,,
167,"26350-Cat-Tail-Dr,-Unit-203,-Galveston,-TX-77554",,,,309830.0,27240.0,282590.0,,,,,,,,,,,,,,,,
168,"10512-Woodstock-Rd,-Odessa,-FL-33556",,,,,,,,,,,,,371403.0,,,,,,,,,
169,"520-Sandra-Dr,-Oxford,-OH-45056",,,,,,,,,,,,,,,,,,,,,,
170,"1697-Village-Ave,-Garnet-Valley,-PA-19060",,,,,,,,,,423460.0,72340.0,351120.0,,,,,,,,,,
171,"12389-Wade-St,-Detroit,-MI-48213",11000.0,,,,,,,,,,,,7200.0,,,,,,,,,
172,"3713-W-56th-Pl,-Chicago,-IL-60629",,,,19000.0,3125.0,15875.0,,,,,,,,,,17591.0,3125.0,14466.0,,,,
173,"14601-Keystone-Ave,-Apt-C1,-Midlothian,-IL-60445",,,,4001.0,403.0,3598.0,,,,,,,,,,4934.0,376.0,4558.0,,,,
174,"8413-S-20th-St,-Phoenix,-AZ-85042",21050.0,4210.0,16840.0,,,,,,,28460.0,5690.0,22770.0,,,,,,,,,,
175,"1500-Speight-Ave-Apt-C,-Waco,-TX-76706",,,,,,,,,,,,,,,,,,,,,,
176,"38-Pheasant-Run,-Old-Tappan,-NJ-07675",,,,,,,,,,,,,,,,,,,,,,
177,"131-N-Grant-Ave,-Apt-1,-American-Fork,-UT-84003",,,,,,,,,,,,,,,,,,,,,,
178,"10-Mira-Loma,-New-Braunfels,-TX-78130",1316159.0,479460.0,836699.0,,,,,,,1458880.0,479460.0,979420.0,,,,,,,,,,
179,"2861-Thaxton-Dr,-Apt-48,-Palm-Harbor,-FL-34684",,,,,,,112316.0,,,,,,,,,,,,,,,
180,"4120-W-Cullerton-St,-Chicago,-IL-60623",,,,,,,,,,,,,,,,12895.0,4406.0,8489.0,,,,
181,"11625-W-Atlantic-Blvd,-Apt-36,-Coral-Springs,-FL-33071",,,,,,,,,,,,,,,,,,,,,,
182,"3403-N-Garrison-St,-Tampa,-FL-33619",180951.0,,,175681.0,21614.0,154067.0,,,,,,,,,,,,,,,,
183,"23W255-Woodcroft-Dr,-Glen-Ellyn,-IL-60137",,,,,,,,,,,,,,,,91670.0,17250.0,74420.0,,,,
184,"6940-Harding-Ave,-Apt-4,-Miami-Beach,-FL-33141",,,,,,,,,,,,,,,,,,,,,,
185,"366-S-Saint-Clair-St,-Painesville,-OH-44077",34310.0,7930.0,26380.0,,,,,,,,,,,,,,,,,,,
186,"29141-Us-Hwy,-19-N-Unit-80,-Clearwater,-FL-33761",,,,,,,,,,,,,,,,,,,,,,
187,"163-Westpoint-Dr,---170,-Carlisle,-PA-17013",,,,,,,,,,,,,,,,,,,,,,
188,"1718-E-Primera-Dr,-Casa-Grande,-AZ-85122",17263.0,2352.0,14911.0,16668.0,,,,,,23479.0,2352.0,21127.0,,,,,,,,,,31315.0
189,"1203-Se-53rd-Ave,-Portland,-OR-97215",277770.0,,,269680.0,,,,,,,,,,,,,,,,,,
190,"1470-Swamp-Ln,-Geneva,-FL-32732",28338.0,,,,,,,,,,,,,,,,,,,,,
191,"920-Kinderkamack-Rd,-Apt-Rear,-River-Edge,-NJ-07661",,,,,,,,,,,,,,,,,,,,,,
192,"5882-Sir-Edward-Ln,-Florissant,-MO-63033",30650.0,5420.0,25230.0,,,,,,,,,,26730.0,4710.0,22020.0,,,,,,,
193,"4232-W-Stiles-St,-Philadelphia,-PA-19104",,,,,,,,,,,,,,,,,,,,,,
194,"763-Peavy-Rd,-Dallas,-TX-75218",,,,,,,1104580.0,471220.0,633360.0,1303360.0,785370.0,517990.0,,,,,,,,,,
195,"8306-Sw-59th-Ter,-Ocala,-FL-34476",317597.0,40000.0,277597.0,,,,,,,,,,,,,,,,,,,
196,"414-E-Pine-St,-Apt-212,-Orlando,-FL-32801",,,,,,,,,,,,,,,,,,,,,,
197,"637-Preston-St,-Columbus,-TX-78934",42050.0,19720.0,22330.0,,,,,,,,,,,,,,,,,,,
198,"3207-Merrick-Dr,-Peachtree-City,-GA-30269",,,,,,,,,,,,,,,,,,,,,,
199,"640-N-Park-Ave,-Apt-29,-Winter-Park,-FL-32789",,,,164400.0,32880.0,131520.0,,,,,,,,,,,,,,,,
200,"PO-Box-293,-Surfside,-CA-90743",,,,,,,,,,,,,,,,,,,,,,
201,"3893-Big-Mountain-Eagle-302-Rd,-Unit-Morning,-Whitefish,-MT-59937",,,,,,,,,,,,,,,,,,,,,,
202,"3400-Stevenson-Blvd,-Apt-B32,-Fremont,-CA-94538",,,,,,,,,,,,,,,,,,,,,,
203,"21-Woodlee-Rd,-Apt-206,-Staunton,-VA-24401",,,,,,,,,,,,,,,,,,,,,,
204,"950-Allen-Ave,-Donora,-PA-15033",,,,,,,,,,,,,,,,,,,,,,
205,"5205-Allen-St,-Unit-G,-Houston,-TX-77007",456637.0,187503.0,269134.0,412760.0,187503.0,225257.0,,,,491577.0,187503.0,304074.0,,,,,,,,,,
206,"2278-Baldwin-Mill-Rd,-Fallston,-MD-21047",,,,,,,,,,,,,,,,,,,,,,
207,"214-Election-St,-Benton,-IL-62812",25155.0,5060.0,20095.0,,,,,,,,,,,,,,,,,,,
208,"10796-Sw-24th-St,-Miami,-FL-33165",,,,,,,,,,,,,,,,,,,,,,
209,"6101-W-Business-83,-Lot-57,-Harlingen,-TX-78552",,,,,,,,,,,,,,,,,,,,,,
210,"20112-10th-Dr-SE,-Bothell,-WA-98012",,,,,,,,,,,,,445800.0,225000.0,220800.0,,,,,,,
211,"250-Martins-Lndg,-Apt-110,-North-Reading,-MA-01864",,,,,,,,,,,,,,,,,,,,,,
212,"18959-E-Montana-Dr,-Aurora,-CO-80017",23797.0,,,24482.0,,,21000.0,,,,,,,,,,,,,,,
213,"34-Northport-Ave,-Belfast,-ME-04915",,,,,,,,,,,,,,,,,,,,,,
214,"Sparks-Mill-At-Rt-213-N-Church-Hill-Rd,-Centreville,-MD-21617",,,,,,,,,,,,,,,,,,,,,,
215,"51-Walnut-St,-Apt-3,-Waterbury,-CT-06702",,,,,,,,,,,,,,,,,,,,,,
216,"1333-Heulu-St,-Apt-903,-Honolulu,-HI-96822",,,,,,,,,,,,,,,,,,,,,,
217,"12526-S-Lowe-Ave,-Chicago,-IL-60628",,,,,,,9721.0,2474.0,7247.0,,,,,,,,,,,,,
